Date,Open,High,Low,Close,Adj Close,Volume
2016-09-14,0.171000,0.175000,0.171000,0.175000,0.167733,17100
2016-09-15,0.175000,0.192000,0.175000,0.187000,0.179235,798500
2016-09-16,0.190000,0.190000,0.182000,0.182000,0.174443,504400
2016-09-19,0.182000,0.185000,0.180000,0.182000,0.174443,320300
2016-09-20,0.181000,0.183000,0.179000,0.179000,0.171567,280000
2016-09-21,0.180000,0.191000,0.180000,0.184000,0.176360,1317700
2016-09-22,0.183000,0.184000,0.181000,0.182000,0.174443,181000
2016-09-23,0.182000,0.185000,0.182000,0.183000,0.175401,178100
2016-09-26,0.185000,0.193000,0.184000,0.184000,0.176360,1132000
2016-09-27,0.188000,0.189000,0.188000,0.189000,0.181152,324700
2016-09-28,0.192000,0.220000,0.192000,0.215000,0.206072,8362400
2016-09-29,0.220000,0.220000,0.205000,0.210000,0.201280,2119100
2016-09-30,0.205000,0.205000,0.200000,0.205000,0.196488,1609300
2016-10-03,0.205000,0.205000,0.205000,0.205000,0.196488,881900
2016-10-04,0.205000,0.205000,0.200000,0.205000,0.196488,936000
2016-10-05,0.205000,0.205000,0.200000,0.200000,0.191695,1538200
2016-10-06,0.205000,0.215000,0.205000,0.205000,0.196488,3117500
2016-10-07,0.210000,0.210000,0.200000,0.200000,0.191695,815700
2016-10-10,0.205000,0.210000,0.205000,0.205000,0.196488,672000
2016-10-11,0.210000,0.210000,0.200000,0.200000,0.191695,1157000
2016-10-12,0.200000,0.205000,0.200000,0.200000,0.191695,1591000
2016-10-13,0.200000,0.200000,0.196000,0.196000,0.187861,2094900
2016-10-14,0.200000,0.200000,0.196000,0.200000,0.191695,359300
2016-10-17,0.199000,0.200000,0.196000,0.196000,0.187861,243600
2016-10-18,0.199000,0.205000,0.198000,0.198000,0.189778,201800
2016-10-19,0.200000,0.200000,0.198000,0.200000,0.191695,395900
2016-10-20,0.200000,0.205000,0.196000,0.196000,0.187861,219400
2016-10-21,0.196000,0.196000,0.196000,0.196000,0.187861,28000
2016-10-24,0.200000,0.200000,0.198000,0.198000,0.189778,21100
2016-10-25,0.200000,0.200000,0.196000,0.198000,0.189778,361300
2016-10-26,0.200000,0.200000,0.195000,0.199000,0.190737,37000
2016-10-27,0.200000,0.200000,0.195000,0.200000,0.191695,48700
